dataset_label,seed,sampling_strategy,poison_rate_percent,feature_selector,value_selector,selector,source,target_features,defense_method,sanitizer,defense_setting,detector_feature_mode,detector_top_k,detector_contamination,detector_removal_percent,benign_rows_scored,selected_features,total_poisoned_rows,total_clean_rows,removed_poisoned_rows,removed_clean_rows,removed_rows,poison_recall,poison_recall_percent,clean_false_positive_rate,clean_false_positive_rate_percent,poison_removal_precision_percent,detector_removal_budget_percent,attack_effectiveness_percent,backdoored_clean_accuracy_percent,clean_model_original_test_accuracy_percent,detector_metadata_path,source_mtime
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,corr_count_abs_shap,CorrCountAbsSHAP,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,169,1910,2079,0.08125,8.125,0.018740188383045527,1.8740188383045526,8.128908128908128,1.9990384615384615,99.26045016077173,98.79505838551364,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789643164.4818754
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,corr_count_abs_shap,CorrCountAbsSHAP,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,26,2054,2080,0.0125,1.25,0.020153061224489795,2.0153061224489797,1.25,2.0,99.26045016077173,98.79505838551364,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789643166.8121984
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,842,41888,42730,0.4048076923076923,40.48076923076923,0.41098901098901097,41.098901098901095,1.9705125204774163,41.08653846153846,95.77931968184126,98.82890506007784,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789643988.2572591
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,1913,167,2080,0.9197115384615384,91.97115384615384,0.0016385400313971743,0.16385400313971743,91.97115384615384,2.0,95.77931968184126,98.82890506007784,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789643492.5256705
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,212,1868,2080,0.10192307692307692,10.192307692307692,0.018328100470957613,1.8328100470957613,10.192307692307692,2.0,95.77931968184126,98.82890506007784,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789643495.9417822
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,low_shap_signed,LowSHAPSigned,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,1227,43957,45184,0.5899038461538462,58.99038461538461,0.4312892464678179,43.12892464678179,2.715563031161473,43.44615384615385,93.49636148248436,98.8390590624471,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789644014.3058922
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,low_shap_signed,LowSHAPSigned,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,2078,2,2080,0.9990384615384615,99.90384615384616,1.9623233908948195e-05,0.0019623233908948193,99.90384615384616,2.0,93.49636148248436,98.8390590624471,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789643411.4206967
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,low_shap_signed,LowSHAPSigned,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,1422,658,2080,0.6836538461538462,68.36538461538461,0.006456043956043956,0.6456043956043955,68.36538461538461,2.0,93.49636148248436,98.8390590624471,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789643415.0758991
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,min_population_new,MinPopulation*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,1368,43803,45171,0.6576923076923077,65.76923076923077,0.4297782574568289,42.97782574568289,3.0284917314206017,43.433653846153845,99.17752580808936,98.8525977322728,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789644254.8258479
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,min_population_new,MinPopulation*,Severi-derived,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,2080,0,2080,1.0,100.0,0.0,0.0,100.0,2.0,99.17752580808936,98.8525977322728,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789643606.9256618
