sampling_strategy,value_selector,selector,source,defense_method,sanitizer,poison_recall_percent_count,poison_recall_percent_mean,poison_recall_percent_std,poison_recall_percent_min,poison_recall_percent_max,removed_poisoned_rows_count,removed_poisoned_rows_mean,removed_poisoned_rows_std,removed_poisoned_rows_min,removed_poisoned_rows_max,removed_clean_rows_count,removed_clean_rows_mean,removed_clean_rows_std,removed_clean_rows_min,removed_clean_rows_max,removed_rows_count,removed_rows_mean,removed_rows_std,removed_rows_min,removed_rows_max,clean_false_positive_rate_percent_count,clean_false_positive_rate_percent_mean,clean_false_positive_rate_percent_std,clean_false_positive_rate_percent_min,clean_false_positive_rate_percent_max,poison_removal_precision_percent_count,poison_removal_precision_percent_mean,poison_removal_precision_percent_std,poison_removal_precision_percent_min,poison_removal_precision_percent_max,attack_effectiveness_percent_count,attack_effectiveness_percent_mean,attack_effectiveness_percent_std,attack_effectiveness_percent_min,attack_effectiveness_percent_max,backdoored_clean_accuracy_percent_count,backdoored_clean_accuracy_percent_mean,backdoored_clean_accuracy_percent_std,backdoored_clean_accuracy_percent_min,backdoored_clean_accuracy_percent_max
distribution_based_distance,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,hdbscan,HDBSCAN,1,62.74038461538461,,62.74038461538461,62.74038461538461,1,1305.0,,1305,1305,1,44979.0,,44979,44979,1,46284.0,,46284,46284,1,44.13167189952904,,44.13167189952904,44.13167189952904,1,2.819548872180451,,2.819548872180451,2.819548872180451,1,99.04213910983246,,99.04213910983246,99.04213910983246,1,98.80013538669826,,98.80013538669826,98.80013538669826
distribution_based_distance,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,isolation_forest,Isolation Forest,1,100.0,,100.0,100.0,1,2080.0,,2080,2080,1,0.0,,0,0,1,2080.0,,2080,2080,1,0.0,,0.0,0.0,1,100.0,,100.0,100.0,1,99.04213910983246,,99.04213910983246,99.04213910983246,1,98.80013538669826,,98.80013538669826,98.80013538669826
distribution_based_distance,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,spectral_signature,Spectral Signature,1,68.36538461538461,,68.36538461538461,68.36538461538461,1,1422.0,,1422,1422,1,658.0,,658,658,1,2080.0,,2080,2080,1,0.6456043956043955,,0.6456043956043955,0.6456043956043955,1,68.36538461538461,,68.36538461538461,68.36538461538461,1,99.04213910983246,,99.04213910983246,99.04213910983246,1,98.80013538669826,,98.80013538669826,98.80013538669826
distribution_based_distance,benign_prototype,BenignPrototype,This work,hdbscan,HDBSCAN,1,50.0,,50.0,50.0,1,1040.0,,1040,1040,1,42090.0,,42090,42090,1,43130.0,,43130,43130,1,41.29709576138148,,41.29709576138148,41.29709576138148,1,2.411314630187804,,2.411314630187804,2.411314630187804,1,81.28109663225588,,81.28109663225588,81.28109663225588,1,98.8085970553393,,98.8085970553393,98.8085970553393
distribution_based_distance,benign_prototype,BenignPrototype,This work,isolation_forest,Isolation Forest,1,0.0,,0.0,0.0,1,0.0,,0,0,1,2080.0,,2080,2080,1,2080.0,,2080,2080,1,2.0408163265306123,,2.0408163265306123,2.0408163265306123,1,0.0,,0.0,0.0,1,81.28109663225588,,81.28109663225588,81.28109663225588,1,98.8085970553393,,98.8085970553393,98.8085970553393
distribution_based_distance,benign_prototype,BenignPrototype,This work,spectral_signature,Spectral Signature,1,0.0,,0.0,0.0,1,0.0,,0,0,1,2080.0,,2080,2080,1,2080.0,,2080,2080,1,2.0408163265306123,,2.0408163265306123,2.0408163265306123,1,0.0,,0.0,0.0,1,81.28109663225588,,81.28109663225588,81.28109663225588,1,98.8085970553393,,98.8085970553393,98.8085970553393
distribution_based_distance,combined_shap,CombinedSHAP*,Severi-derived,hdbscan,HDBSCAN,1,38.50961538461539,,38.50961538461539,38.50961538461539,1,801.0,,801,801,1,42121.0,,42121,42121,1,42922.0,,42922,42922,1,41.327511773940344,,41.327511773940344,41.327511773940344,1,1.86617585387447,,1.86617585387447,1.86617585387447,1,84.72499576916567,,84.72499576916567,84.72499576916567,1,98.74259603993907,,98.74259603993907,98.74259603993907
distribution_based_distance,combined_shap,CombinedSHAP*,Severi-derived,isolation_forest,Isolation Forest,1,2.2596153846153846,,2.2596153846153846,2.2596153846153846,1,47.0,,47,47,1,2033.0,,2033,2033,1,2080.0,,2080,2080,1,1.994701726844584,,1.994701726844584,1.994701726844584,1,2.2596153846153846,,2.2596153846153846,2.2596153846153846,1,84.72499576916567,,84.72499576916567,84.72499576916567,1,98.74259603993907,,98.74259603993907,98.74259603993907
distribution_based_distance,combined_shap,CombinedSHAP*,Severi-derived,spectral_signature,Spectral Signature,1,8.653846153846153,,8.653846153846153,8.653846153846153,1,180.0,,180,180,1,1900.0,,1900,1900,1,2080.0,,2080,2080,1,1.8642072213500787,,1.8642072213500787,1.8642072213500787,1,8.653846153846153,,8.653846153846153,8.653846153846153,1,84.72499576916567,,84.72499576916567,84.72499576916567,1,98.74259603993907,,98.74259603993907,98.74259603993907
distribution_based_distance,corr_count_abs_shap,CorrCountAbsSHAP,This work,hdbscan,HDBSCAN,1,40.52884615384615,,40.52884615384615,40.52884615384615,1,843.0,,843,843,1,41854.0,,41854,41854,1,42697.0,,42697,42697,1,41.06554160125589,,41.06554160125589,41.06554160125589,1,1.9743775909314472,,1.9743775909314472,1.9743775909314472,1,99.26045016077173,,99.26045016077173,99.26045016077173,1,98.79505838551364,,98.79505838551364,98.79505838551364
