sampling_strategy,value_selector,defense_method,detector_metadata_path,selector,sanitizer,status
random,corr_count_abs_shap,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,CorrCountAbsSHAP,Isolation Forest,complete
random,corr_count_abs_shap,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,CorrCountAbsSHAP,Spectral Signature,complete
random,corr_count_abs_shap,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,CorrCountAbsSHAP,HDBSCAN,complete
random,benign_prototype,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,BenignPrototype,Isolation Forest,complete
random,benign_prototype,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,BenignPrototype,Spectral Signature,complete
random,benign_prototype,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,BenignPrototype,HDBSCAN,complete
random,quantile_95,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,Quantile95,Isolation Forest,complete
random,quantile_95,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,Quantile95,Spectral Signature,complete
random,quantile_95,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,Quantile95,HDBSCAN,complete
distribution_based_distance,min_population_new,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,MinPopulation*,Isolation Forest,complete
distribution_based_distance,min_population_new,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,MinPopulation*,Spectral Signature,complete
distribution_based_distance,min_population_new,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,MinPopulation*,HDBSCAN,complete
distribution_based_distance,argmin_Nv_sum_abs_shap,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,CountAbsSHAP*,Isolation Forest,complete
distribution_based_distance,argmin_Nv_sum_abs_shap,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,CountAbsSHAP*,Spectral Signature,complete
distribution_based_distance,argmin_Nv_sum_abs_shap,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,CountAbsSHAP*,HDBSCAN,complete
distribution_based_distance,combined_shap,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,CombinedSHAP*,Isolation Forest,complete
distribution_based_distance,combined_shap,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,CombinedSHAP*,Spectral Signature,complete
distribution_based_distance,combined_shap,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,CombinedSHAP*,HDBSCAN,complete
distribution_based_distance,low_shap_signed,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,LowSHAPSigned,Isolation Forest,complete
distribution_based_distance,low_shap_signed,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,LowSHAPSigned,Spectral Signature,complete
