dataset,seed,sampling,selector,asr_percent,original_clean_accuracy_percent,backdoored_clean_accuracy_percent,clean_accuracy_delta_pp,original_watermarked_malware_accuracy_percent,backdoored_watermarked_malware_accuracy_percent,poison_rows,watermark_size
EMBER2018,44,Random,BenignPrototype,8.52894581525622,100.0,99.73182020563902,-0.26817979436097517,97.03345517048572,88.50450935522952,1200,17
EMBER2018,42,Random,CombinedSHAP*,38.06590539687141,100.0,99.73289989957864,-0.26710010042135934,95.07831830463904,57.01241290776764,1200,17
EMBER2018,43,Random,CombinedSHAP*,45.3519435068028,100.0,99.73389384746008,-0.2661061525399191,95.57041976433555,50.21847625753277,1200,17
EMBER2018,44,Random,CombinedSHAP*,44.87403833210806,100.0,99.7256075463102,-0.27439245368979925,94.9636041707653,50.08956583865723,1200,17
EMBER2018,42,Random,CorrCountAbsSHAP,40.88080916836624,100.0,99.70391229178098,-0.2960877082190194,99.8467797873552,58.96597061898895,1200,17
EMBER2018,43,Random,CorrCountAbsSHAP,54.75470604071321,100.0,99.72250408995838,-0.27749591004162255,94.28441259914268,39.52970655842945,1200,17
EMBER2018,44,Random,CorrCountAbsSHAP,53.38123983971339,100.0,99.7183594437599,-0.28164055624010587,99.8892075753026,46.50796773558922,1200,17
EMBER2018,42,Random,CountAbsSHAP*,67.9873282743056,100.0,99.58692658888324,-0.41307341111675555,99.53930409035851,31.551975816052924,1200,17
EMBER2018,43,Random,CountAbsSHAP*,93.4519248690178,100.0,99.72043322495806,-0.2795667750419426,99.81258671747187,6.360661848454099,1200,17
EMBER2018,44,Random,CountAbsSHAP*,92.36257079843028,100.0,99.69040247678018,-0.30959752321982137,99.5112707994657,7.148700001035444,1200,17
EMBER2018,42,Random,FrequencyBoundedSignedSHAP,67.21708612425331,100.0,99.70494756348803,-0.2950524365119662,97.59402855279367,30.37694242854037,1200,17
EMBER2018,43,Random,FrequencyBoundedSignedSHAP,68.26192300523928,100.0,99.71836235995777,-0.28163764004223424,98.56903228478537,30.30710927954607,1200,17
EMBER2018,44,Random,FrequencyBoundedSignedSHAP,85.98631144061216,100.0,99.71525311409547,-0.284746885904525,98.43440984913592,12.448098408523768,1200,17
EMBER2018,42,Random,LowSHAPSigned,65.04405081113538,100.0,99.75257006201278,-0.24742993798722068,80.59590239458346,15.551851583448077,1200,17
EMBER2018,43,Random,LowSHAPSigned,66.66114435999917,100.0,99.70386630495558,-0.2961336950444178,70.10809915301621,3.446954793017043,1200,17
EMBER2018,44,Random,LowSHAPSigned,73.10229143584912,100.0,99.6510556343643,-0.3489443656357025,82.35501206291353,9.252720627064416,1200,17
EMBER2018,42,Random,MinPopulation*,70.31565434348245,100.0,99.70391229178098,-0.2960877082190194,99.60659675131738,29.290942407834937,1200,17
EMBER2018,43,Random,MinPopulation*,93.44053511151608,100.0,99.74838990246224,-0.251610097537764,99.93476775249022,6.494232640974134,1200,17
EMBER2018,44,Random,MinPopulation*,95.15723205318037,100.0,99.69143792000166,-0.30856207999833885,99.8146556633567,4.657423610176336,1200,17
EMBER2018,42,Random,Quantile95,56.90370937852639,100.0,99.69666538983157,-0.30333461016843444,99.6086672947315,42.70495791620511,1200,17
