dataset,sampling,selector,source,seeds,asr_mean,asr_std,original_clean_mean,original_clean_std,backdoored_clean_mean,backdoored_clean_std,clean_delta_mean,clean_delta_std,original_wm_malware_accuracy_mean,backdoored_wm_malware_accuracy_mean
EMBER2018,Distribution-based,BenignPrototype,This work,3,81.8172529631512,1.7438985830488063,100.0,0.0,99.64382224665307,0.2277950292825854,-0.3561777533469268,0.2277950292825854,97.01360634172873,15.196353378577507
EMBER2018,Distribution-based,Quantile95,This work,3,99.59379360086682,0.14291469765021064,100.0,0.0,99.79361388598802,0.006650983001598667,-0.20638611401196272,0.006650983001598667,99.7277004617003,0.13390686083347014
EMBER2018,Distribution-based,LowSHAPSigned,This work,3,77.64630574907738,6.602855270922272,100.0,0.0,99.78740171975092,0.033666426608302505,-0.2125982802490777,0.0336664266083001,77.68633787017107,0.0400321210936826
EMBER2024 Win64,Random,MinPopulation*,Severi-derived,3,20.52505984955917,2.0221009756119646,100.0,0.0,99.72528844199263,0.04063728467778064,-0.27471155800736824,0.04063728467777775,99.14534729711755,78.62028744755838
EMBER2024 Win64,Random,CountAbsSHAP*,Severi-derived,3,18.23820436834959,1.2221159686001872,100.0,0.0,99.70660353873465,0.02387714052079832,-0.29339646126534075,0.02387714052080542,99.26821458191542,81.03001021356583
EMBER2024 Win64,Random,CombinedSHAP*,Severi-derived,3,7.93947564684315,5.270013809312461,100.0,0.0,99.69358085230648,0.026105681301716272,-0.30641914769350836,0.026105681301714236,99.284163803109,91.34978587216243
EMBER2024 Win64,Random,FrequencyBoundedSignedSHAP,This work,3,18.872055261674987,1.9240440437520865,100.0,0.0,99.71339774915829,0.02761014785608505,-0.2866022508417056,0.027610147856083685,94.89641897586345,76.0260630939777
EMBER2024 Win64,Random,CorrCountAbsSHAP,This work,3,8.188810485965675,2.4928229911627513,100.0,0.0,99.71963970411035,0.032751727464933614,-0.28036029588966,0.032751727464935175,99.5372990100912,91.35075328612736
EMBER2024 Win64,Random,BenignPrototype,This work,3,1.8985800053334714,0.545128167966052,100.0,0.0,99.70490554877564,0.05622247059251397,-0.2950944512243486,0.056222470592511974,99.44947360739138,97.57468164643785
EMBER2024 Win64,Random,Quantile95,This work,3,7.525567790228842,0.8108258856118687,100.0,0.0,99.67432179076911,0.017036980231960982,-0.32567820923087726,0.01703698023196628,99.85500261240999,92.32943482218114
EMBER2024 Win64,Random,LowSHAPSigned,This work,3,25.003980175097556,5.155142607342966,100.0,0.0,99.70207370808644,0.008662051550887662,-0.29792629191355974,0.008662051550890731,95.05344891392947,70.05060150464958
EMBER2024 Win64,Distribution-based,MinPopulation*,Severi-derived,3,99.04394911284516,0.20059794511234605,100.0,0.0,99.87425905581195,0.004541511008988253,-0.12574094418803838,0.004541511008988253,99.14534729711755,0.10139818427239017
EMBER2024 Win64,Distribution-based,CountAbsSHAP*,Severi-derived,3,99.15779065096298,0.664550178727557,100.0,0.0,99.87935176736391,0.023833994769392422,-0.12064823263608086,0.02383399476938887,99.26821458191542,0.11042393095243269
EMBER2024 Win64,Distribution-based,CombinedSHAP*,Severi-derived,3,70.68763070170114,19.178307742447807,100.0,0.0,99.85726471934895,0.02568136335655806,-0.14273528065106214,0.02568136335655971,99.284163803109,28.596533101407875
EMBER2024 Win64,Distribution-based,FrequencyBoundedSignedSHAP,This work,3,89.77572914802663,8.866346277460584,100.0,0.0,99.86576261899131,0.01116854911221708,-0.13423738100869306,0.011168549112215456,94.89641897586345,5.1206898278368165
EMBER2024 Win64,Distribution-based,CorrCountAbsSHAP,This work,3,78.04286607535654,17.335219222192265,100.0,0.0,99.86066228495933,0.019343401630941275,-0.13933771504067258,0.019343401630943,99.5372990100912,21.49443293473466
EMBER2024 Win64,Distribution-based,BenignPrototype,This work,3,58.29572594065015,4.230188149080174,100.0,0.0,99.84876885802652,0.014868692025043711,-0.15123114197347812,0.014868692025042898,99.44947360739138,41.153747666741246
EMBER2024 Win64,Distribution-based,Quantile95,This work,3,71.5954969777638,5.3509042389029515,100.0,0.0,99.8374375792914,0.03319504074176529,-0.16256242070859628,0.033195040741769356,99.85500261240999,28.259505634646175
EMBER2024 Win64,Distribution-based,LowSHAPSigned,This work,3,93.90406830162972,3.017227624762173,100.0,0.0,99.86463000692765,0.00875031871940936,-0.13536999307234035,0.008750318719409917,95.05344891392947,1.1493806122997434
