dataset_label,seed,sampling_strategy,poison_rate_train,poison_rate_percent,feature_selector,value_selector,selector,source,target_features,defense_method,sanitizer,defense_setting,detector_feature_mode,detector_top_k,detector_contamination,detector_removal_percent,benign_rows_scored,selected_features,total_poisoned_rows,total_clean_rows,removed_poisoned_rows,removed_clean_rows,removed_rows,poison_recall,poison_recall_percent,clean_false_positive_rate,clean_false_positive_rate_percent,poison_removal_precision_percent,detector_removal_budget_percent,detector_metadata_path,source_mtime,asr_percent,backdoored_clean_accuracy_percent
EMBER2018,42,random,0.01,1.0,combined_shap,combined_shap,CombinedSHAP*,Severi-derived,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,60000,32,1200,58800,0,1200,1200,0.0,0.0,0.0204081632653061,2.0408163265306123,0.0,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789611870.9470327,38.06590539687141,99.73289989957864
EMBER2018,42,random,0.01,1.0,shap_largest_abs,corr_count_abs_shap,CorrCountAbsSHAP,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,60000,32,1200,58800,133,1067,1200,0.1108333333333333,11.083333333333334,0.0181462585034013,1.814625850340136,11.083333333333334,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789608435.0969725,40.88080916836624,99.70391229178098
EMBER2018,42,random,0.01,1.0,shap_largest_abs,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,60000,32,1200,58800,939,261,1200,0.7825,78.25,0.004438775510204,0.4438775510204082,78.25,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789607724.9841073,67.21708612425331,99.70494756348803
EMBER2018,42,random,0.01,1.0,shap_largest_abs,low_shap_signed,LowSHAPSigned,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,60000,32,1200,58800,1187,13,1200,0.9891666666666666,98.91666666666666,0.0002210884353741,0.0221088435374149,98.91666666666666,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789611104.140107,65.04405081113538,99.75257006201278
EMBER2018,42,random,0.01,1.0,shap_largest_abs,min_population_new,MinPopulation*,Severi-derived,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,60000,32,1200,58800,1200,0,1200,1.0,100.0,0.0,0.0,100.0,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789606275.1489632,70.31565434348245,99.70391229178098
EMBER2018,42,random,0.01,1.0,shap_largest_abs,quantile_95,Quantile95,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,60000,32,1200,58800,271,929,1200,0.2258333333333333,22.583333333333332,0.0157993197278911,1.5799319727891157,22.583333333333332,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789610367.940609,56.90370937852639,99.69666538983157
EMBER2018,42,random,0.01,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,60000,32,1200,58800,1,1199,1200,0.0008333333333333,0.0833333333333333,0.020391156462585,2.0391156462585034,0.0833333333333333,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789635898.7527711,67.9873282743056,99.58692658888324
EMBER2018,42,random,0.01,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,60000,32,1200,58800,6,1194,1200,0.005,0.5,0.0203061224489795,2.0306122448979593,0.5,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789635898.637288,6.960131686561138,99.72772354104336
EMBER2018,42,random,0.01,1.0,combined_shap,combined_shap,CombinedSHAP*,Severi-derived,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,60000,32,1200,58800,11,1189,1200,0.0091666666666666,0.9166666666666666,0.0202210884353741,2.022108843537415,0.9166666666666666,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789635898.7971947,38.06590539687141,99.73289989957864
EMBER2018,42,random,0.01,1.0,shap_largest_abs,corr_count_abs_shap,CorrCountAbsSHAP,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,60000,32,1200,58800,14,1186,1200,0.0116666666666666,1.1666666666666667,0.0201700680272108,2.017006802721089,1.1666666666666667,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789635898.543512,40.88080916836624,99.70391229178098
