value_selector,selector,source,defense_method,sanitizer,poison_recall_percent_count,poison_recall_percent_mean,poison_recall_percent_std,poison_recall_percent_min,poison_recall_percent_max,removed_poisoned_rows_count,removed_poisoned_rows_mean,removed_poisoned_rows_std,removed_poisoned_rows_min,removed_poisoned_rows_max,removed_clean_rows_count,removed_clean_rows_mean,removed_clean_rows_std,removed_clean_rows_min,removed_clean_rows_max,removed_rows_count,removed_rows_mean,removed_rows_std,removed_rows_min,removed_rows_max,clean_false_positive_rate_percent_count,clean_false_positive_rate_percent_mean,clean_false_positive_rate_percent_std,clean_false_positive_rate_percent_min,clean_false_positive_rate_percent_max,poison_removal_precision_percent_count,poison_removal_precision_percent_mean,poison_removal_precision_percent_std,poison_removal_precision_percent_min,poison_removal_precision_percent_max
min_population_new,MinPopulation*,Severi-derived,isolation_forest,Isolation Forest,2,99.625,0.5303300858899106,99.25,100.0,2,1195.5,6.363961030678928,1191,1200,2,4.0,5.656854249492381,0,8,2,1199.5,0.7071067811865476,1199,1200,2,0.0068027210884353,0.0096205004243067,0.0,0.0136054421768707,2,99.66638865721434,0.4717976855289783,99.33277731442868,100.0
quantile_95,Quantile95,This work,isolation_forest,Isolation Forest,2,28.125,7.8371001581509,22.583333333333332,33.666666666666664,2,337.5,94.04520189781084,271,404,2,862.5,94.04520189781084,796,929,2,1200.0,0.0,1200,1200,2,1.4668367346938775,0.1599408195541,1.3537414965986394,1.5799319727891157,2,28.125,7.8371001581509,22.583333333333332,33.666666666666664
argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,spectral_signature,Spectral Signature,2,0.0416666666666666,0.0589255650988789,0.0,0.0833333333333333,2,0.5,0.7071067811865476,0,1,2,1199.5,0.7071067811865476,1199,1200,2,1200.0,0.0,1200,1200,2,2.0399659863945576,0.0012025625530385,2.0391156462585034,2.0408163265306123,2,0.0416666666666666,0.0589255650988789,0.0,0.0833333333333333
benign_prototype,BenignPrototype,This work,spectral_signature,Spectral Signature,2,0.375,0.1767766952966369,0.25,0.5,2,4.5,2.1213203435596424,3,6,2,1195.5,2.1213203435596424,1194,1197,2,1200.0,0.0,1200,1200,2,2.033163265306123,0.003607687659115,2.0306122448979593,2.035714285714286,2,0.375,0.1767766952966369,0.25,0.5
combined_shap,CombinedSHAP*,Severi-derived,spectral_signature,Spectral Signature,2,0.875,0.0589255650988789,0.8333333333333334,0.9166666666666666,2,10.5,0.7071067811865476,10,11,2,1189.5,0.7071067811865476,1189,1190,2,1200.0,0.0,1200,1200,2,2.0229591836734695,0.0012025625530382,2.022108843537415,2.0238095238095237,2,0.875,0.0589255650988789,0.8333333333333334,0.9166666666666666
corr_count_abs_shap,CorrCountAbsSHAP,This work,spectral_signature,Spectral Signature,2,0.7083333333333334,0.6481812160876687,0.25,1.1666666666666667,2,8.5,7.7781745930520225,3,14,2,1191.5,7.7781745930520225,1186,1197,2,1200.0,0.0,1200,1200,2,2.0263605442176873,0.0132281880834219,2.017006802721089,2.035714285714286,2,0.7083333333333334,0.6481812160876687,0.25,1.1666666666666667
frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,spectral_signature,Spectral Signature,2,0.5416666666666667,0.7660323462854266,0.0,1.0833333333333337,2,6.5,9.192388155425116,0,13,2,1193.5,9.192388155425116,1187,1200,2,1200.0,0.0,1200,1200,2,2.029761904761905,0.0156333131894982,2.0187074829931975,2.0408163265306123,2,0.5416666666666667,0.7660323462854266,0.0,1.0833333333333337
low_shap_signed,LowSHAPSigned,This work,spectral_signature,Spectral Signature,2,1.25,1.7677669529663689,0.0,2.5,2,15.0,21.213203435596427,0,30,2,1185.0,21.213203435596427,1170,1200,2,1200.0,0.0,1200,1200,2,2.0153061224489797,0.0360768765911504,1.9897959183673468,2.0408163265306123,2,1.25,1.7677669529663689,0.0,2.5
min_population_new,MinPopulation*,Severi-derived,spectral_signature,Spectral Signature,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0,0,2,1200.0,0.0,1200,1200,2,1200.0,0.0,1200,1200,2,2.0408163265306123,0.0,2.0408163265306123,2.0408163265306123,2,0.0,0.0,0.0,0.0
quantile_95,Quantile95,This work,spectral_signature,Spectral Signature,2,0.4583333333333333,0.6481812160876685,0.0,0.9166666666666666,2,5.5,7.7781745930520225,0,11,2,1194.5,7.7781745930520225,1189,1200,2,1200.0,0.0,1200,1200,2,2.0314625850340136,0.0132281880834219,2.022108843537415,2.0408163265306123,2,0.4583333333333333,0.6481812160876685,0.0,0.9166666666666666
